Order_id,order_date_time,Item_price,Product_category,channel_name
c27c9bb4-fa36-4140-9f1f-21009254ffdb,,,,Outcall
d406b0c7-ce17-4654-b9de-f08d421254bd,,,,Outcall
c273368d-b961-44cb-beaf-62d6fd6c00d5,,,,Inbound
5aed0059-55a4-4ec6-bb54-97942092020a,,,,Inbound
e8bed5a9-6933-4aff-9dc6-ccefd7dcde59,,,,Inbound
a2938961-2833-45f1-83d6-678d9555c603,,,,Email
bfcb562b-9a2f-4cca-aa79-fd4e2952f901,,,,Outcall
88537e0b-5ffa-43f9-bbe2-fe57a0f4e4ae,,,,Inbound
e6be9713-13c3-493c-8a91-2137cbbfa7e6,,,,Inbound
c7caa804-2525-499e-b202-4c781cb68974,,,,Inbound
5862d1a1-2081-4e28-ad0a-cec43380ac7d,,,,Outcall
55bbace3-eb2e-4f67-aacb-4f8ee8512f75,19-07-2023 23:50,434,LifeStyle,Inbound
c7d5eef8-d239-474c-8d24-542db2923b3c,,,,Inbound
c1e10375-7426-4b2a-aca6-17dc6bc9c7a3,,,,Inbound
9e0d7d55-d012-42f7-8e21-634942419386,,,,Inbound
8153c646-4940-406f-992c-952ed08e9af8,,,,Inbound
4245d6df-49c6-491a-8724-125c4df82e75,06-05-2023 21:41,1299,Electronics,Inbound
0cdaa1f1-02f2-40ec-9134-7cd0f92a6b3e,,,,Inbound
3f16b782-27cf-4831-b542-cd8bd60c0385,,,,Inbound
8a1ae638-4d8c-4a5e-bf1b-eb74f881fc3d,18-07-2023 12:20,15990,Electronics,Inbound
96bd06f2-beb2-4462-834f-b6b77aae8c4e,,,,Inbound
91ba71bf-f229-4544-9dc6-be3b6c2e51d2,,,,Inbound
a076e47c-cb0b-458d-b4bb-935e04203b1f,,,,Outcall
91fd56f7-fef1-4d16-9839-0051bda0f370,,,,Inbound
2509fa08-318d-4526-8122-51603af956a8,15-07-2023 14:47,1099,Electronics,Inbound
e4eed4bb-1b1e-4894-bbd0-e2ba491b562b,29-07-2023 13:35,99999,Mobile,Inbound
24c3e082-0548-485b-a649-7e4dac116731,28-07-2023 10:52,3199,Home Appliences,Inbound
159aec02-1396-4dd7-95f4-acba7a790ff7,25-07-2023 13:49,664,LifeStyle,Inbound
0e53b17c-6d33-4b57-9753-e788545bb995,,,,Inbound
57fa0ee6-7b49-4721-ad09-7a717fd7afeb,,,,Inbound
57df6fba-465e-46a7-8a9d-98df37cf8f13,,,,Inbound
93992718-b762-4073-978a-c79ee02b561f,,,,Inbound
d99b00a1-24c6-4173-ab90-2fe0e0d5302f,,,,Outcall
5185b97f-7cfd-4dda-ba45-9697a1483f40,,,,Outcall
8a04b086-7b38-44b6-a0fc-1c3243fe9993,,,,Inbound
79d01ef2-c3bc-460b-8e9c-41ae47a90021,,,,Inbound
